"Time","A","B","C","D","E","F","G","H"
"11:00:01",3.54914,1.02219,3.21099,7.96938,3.01094,6.68195,1.33333,6.90376
"11:10:01",3.54914,2.61904,3.21099,6.81805,8.14835,6.68195,1.33333,6.90376
"11:20:01",4.12315,2.61904,3.77142,6.68518,8.14835,6.64817,1.33333,6.14325
"11:30:01",4.3964,2.61904,3.77142,5.42948,8.14835,6.64817,1.33333,6.14325
"11:40:01",2.71734,2.61904,4.58514,4.5138,8.30225,4.73416,1.33333,6.14325
"11:50:01",0,2.61904,4.4489,4.58689,8.30225,2.30696,1.33333,6.14325
"12:00:01",1.4943,2.61904,4.4489,3.49518,8.30225,2.30696,1.33333,6.14325
"12:10:01",1.68795,2.61904,3.35238,6.04207,8.30225,7.28402,1.33333,6.14325
"12:20:01",2.85041,2.61904,3.35238,6.04207,8.30225,7.28402,1.33333,6.14325
"12:30:01",1.68108,2.61904,3.35238,6.04207,9.23029,6.21443,1.33333,6.14325
"12:40:01",1.94779,3.14285,3.35238,5.35739,9.23029,6.21443,1.33333,6.14325
"12:50:01",2.29271,3.14285,3.35238,6.71148,8.29651,6.69174,1.33333,6.14325
"13:00:01",4.03432,3.14285,3.35238,6.27042,7.81932,7.88609,1.33333,6.14325
"13:10:01",4.47641,3.14285,2.93333,6.27042,7.39498,2.17081,1.33333,6.14325
"13:20:01",1.14556,3.14285,3.08307,3.13438,8.05193,2.17081,1.33333,6.14325
"13:30:01",4.84407,3.14285,3.08307,4.4449,8.30225,2.17081,1.33333,6.14325
"13:40:01",5.64533,3.14285,3.08307,4.4449,8.30225,7.88609,1.33333,6.14325
"13:50:01",7.3148,3.14285,2.93333,6.37457,8.30225,3.27792,1.33333,6.14325
"14:00:01",3.96319,3.14285,2.93333,5.73232,8.30225,3.27792,1.33333,6.14325
"14:10:01",3.96319,3.14285,2.93333,5.73232,8.30225,3.85669,1.33333,6.14325
"14:20:01",3.96319,3.14285,2.51428,5.73232,8.30225,8.16118,1.33333,6.14325
"14:30:01",5.02625,3.14285,2.51428,5.35739,7.03659,8.16118,1.33333,6.14325
"14:40:01",5.47781,3.14285,2.51428,3.51906,7.03659,8.16118,1.33333,6.14325
"14:50:01",5.47781,3.14285,2.51428,5.90636,7.03659,8.16118,1.33333,6.14325
"15:00:01",5.47781,3.14285,2.51428,6.04163,8.30225,8.16118,1.33333,6.14325
